id,name,rating,review_count,categories,price,address,latitude,longitude,url,website_url,city
Z1y_Kmy9zbBx4TNkGK1TAg,Ka Thai,4.5,567,"Thai, Salad, Chicken Wings",$$,"3220 Mckinney Ave, Ste 120, Dallas, TX 75204",32.80291261733748,-96.79951032005457,https://www.yelp.com/biz/ka-thai-dallas?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/ka-thai-dallas?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Dallas, TX"
lV_cYsgvyWATMsRV77PMOA,Rice Wok Express,3.7,55,"Chinese, Soup",$,"406 E Irving Blvd, Irving, TX 75060",32.8136372521086,-96.9420570961382,https://www.yelp.com/biz/rice-wok-express-irving-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/rice-wok-express-irving-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Dallas, TX"
8XNJeB5P5wmFulXSX_fHHw,Lucky Bamboo Kitchen,4.5,209,Chinese,$$,"430 N Coit Rd, Ste 200, Richardson, TX 75080",32.957133,-96.767317,https://www.yelp.com/biz/lucky-bamboo-kitchen-richardson?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.luckybambootx.com/menu,"Dallas, TX"
WQbMbt_WwyUNxzg6QVzsEw,MOMO Japanese Cuisine,4.3,260,"Japanese, Asian Fusion, Sushi Bars",$$,"4350 Main St, Ste 155, Frisco, TX 75033",33.15458,-96.84991,https://www.yelp.com/biz/momo-japanese-cuisine-frisco?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/momo-japanese-cuisine-frisco?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Dallas, TX"
GaR00GGQa5GJt0XkQ0ezsg,Chan's Mongolian Grill,4.2,220,Mongolian,$,"9147 Blvd 26, Ste 450, North Richland Hills, TX 76180",32.8551871099619,-97.1889087525225,https://www.yelp.com/biz/chans-mongolian-grill-north-richland-hills-3?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://www.chansmongoliangrill.com/our_menu.html,"Dallas, TX"
Sskny3NwoWK9LFEZvF_cBQ,Oceanic Thai Kitchen,4.3,555,Thai,$$,"1501 Preston Rd, Ste 800, Plano, TX 75093",33.019066,-96.795977,https://www.yelp.com/biz/oceanic-thai-kitchen-plano?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://oceanicthaikitchenplano.square.site,"Dallas, TX"
850TaZzIBddA6b66BBDkgg,King Buffet,3.6,408,Buffets,$$,"521 E Central Pkwy, Plano, TX 75074",33.02675383000474,-96.7081444411829,https://www.yelp.com/biz/king-buffet-plano-3?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/king-buffet-plano-3?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Dallas, TX"
vy4PsNfCArr1NYJ_9owJww,Pham Thi Truoc Restaurant,4.0,166,Vietnamese,$,"1901 E Arkansas Ln, Ste 111, Arlington, TX 76010",32.706785,-97.079314,https://www.yelp.com/biz/pham-thi-truoc-restaurant-arlington?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/pham-thi-truoc-restaurant-arlington?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Dallas, TX"
NYxNTAfCWhSzldNjl8msMQ,Bubala Cafe & Grill,4.5,123,"Uzbek, Modern European, Asian Fusion",,"17479 Preston Rd, Dallas, TX 75252",32.990936,-96.802097,https://www.yelp.com/biz/bubala-cafe-and-grill-dallas?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://bubala.org/uzbek-russian-menu-dallas/,"Dallas, TX"
6EdQdLl419ehp4nE96n4Hg,Gen Korean BBQ House,4.3,3373,"Korean, Barbeque, Asian Fusion",$$,"2540 Old Denton Rd, Ste 134, Carrollton, TX 75006",32.98177698894865,-96.90784367790296,https://www.yelp.com/biz/gen-korean-bbq-house-carrollton?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.genkoreanbbq.com/menu-1,"Dallas, TX"
