id,name,rating,review_count,categories,price,address,latitude,longitude,url,website_url,city
XW_YobHUHW_ZHLooCuU8Nw,EL Suenito Brewing,4.4,25,"Mexican, Breweries",,"106 N 36th St, Ste 102, Seattle, WA 98103",47.6530930118977,-122.357477,https://www.yelp.com/biz/el-suenito-brewing-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/el-suenito-brewing-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
Dz2iqMDZyGA50g9VXT89QA,Mas Cafe,4.8,236,"Coffee & Tea, Mexican, Breakfast & Brunch",$$,"1906 N 34th St, Seattle, WA 98103",47.648195,-122.334589,https://www.yelp.com/biz/mas-cafe-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/mas-cafe-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
auTqvgM1OJYm4pzP89maUw,Isidros Food Truck,4.7,23,"Food Trucks, Mexican, Caterers",,"360 Corporate Dr N, Tukwila, WA 98188",47.4514658,-122.25659107423964,https://www.yelp.com/biz/isidros-food-truck-tukwila-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/isidros-food-truck-tukwila-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
nIr7ZiMZLunwVwYIv6JmVQ,Las Espuelas,4.4,694,Mexican,$$,"4306 228th St SW, Ste 9, Mountlake Terrace, WA 98043",47.7915534973145,-122.291145324707,https://www.yelp.com/biz/las-espuelas-mountlake-terrace?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,,"Seattle, WA"
FvFy8y75Yxu5jyr55vtPYQ,Las Margaritas,3.4,231,"Mexican, Cocktail Bars",$$,"14356 Aurora Ave N, Seattle, WA 98133",47.7339611,-122.3445235,https://www.yelp.com/biz/las-margaritas-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,,"Seattle, WA"
_X8Gem2YA1s2crAJIwZCNg,Cactus Restaurants,4.0,1249,"Mexican, Spanish, Cocktail Bars",$$,"535 Bellevue Sq, Bellevue, WA 98004",47.6168093,-122.20205444499015,https://www.yelp.com/biz/cactus-restaurants-bellevue-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.cactusrestaurants.com/menus,"Seattle, WA"
LCiJZkDsKmML9fkN2gZUzw,Man vs Fries,3.1,58,"Mexican, Pop-Up Restaurants",,"4253 22nd Ave W, Seattle, WA 98199",47.65919,-122.38503,https://www.yelp.com/biz/man-vs-fries-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/man-vs-fries-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
ENTgHkUIb0lytWn3AfDvDw,Mission Cantina,3.7,529,"Mexican, Venues & Event Spaces, Cocktail Bars",$$,"2325 California Ave SW, Seattle, WA 98116",47.58225,-122.38689,https://www.yelp.com/biz/mission-cantina-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.missioncantinaseattle.com/menu,"Seattle, WA"
QbuwLc2ciiUI8a4tZm7fDA,Moctezuma's Mexican Restaurant & Tequila Bar,3.9,680,"Mexican, Cocktail Bars, Desserts",$$,"10315 Silverdale Way NW, Ste J-03, Kitsap Mall, Silverdale, WA 98383",47.657446,-122.690279,https://www.yelp.com/biz/moctezumas-mexican-restaurant-and-tequila-bar-silverdale?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/moctezumas-mexican-restaurant-and-tequila-bar-silverdale?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
uxMkOgFI1XislcIMErBWUw,Laredo's Grill,3.7,522,"Tex-Mex, Bars",$$,"555 Aloha St, Seattle, WA 98109",47.6270225,-122.3459822,https://www.yelp.com/biz/laredos-grill-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.laredostexmex.com/menu,"Seattle, WA"
yo5IevRNaQSrEHez77pr-Q,Mexican Seoul,4.2,16,"Food Trucks, Korean, Mexican",,"1409 NE 80th St, Seattle, WA 98115",47.68649347041911,-122.313063799999,https://www.yelp.com/biz/mexican-seoul-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.mexicanseoul.com/menu,"Seattle, WA"
sZwHD3ycvdbNLUNar5-2Ww,Aliberto's Jr Fresh Mexican Food,3.3,182,Mexican,$,"17832 108th Ave SE, Renton, WA 98055",47.44213,-122.19642,https://www.yelp.com/biz/alibertos-jr-fresh-mexican-food-renton?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/alibertos-jr-fresh-mexican-food-renton?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
GWJ8Nos_iWmBaxy8C1kBtA,Dos Chamucos Taqueria,4.1,141,Mexican,$$,"550 Queen Anne Ave N, Seattle, WA 98109",47.624479184505496,-122.3565002603443,https://www.yelp.com/biz/dos-chamucos-taqueria-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/dos-chamucos-taqueria-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
Z3U251xznTxb0KNOSzUV4A,El Lugar,4.6,23,"International Grocery, Mexican, Bars",,"606 E Pine St, Seattle, WA 98122",47.615404,-122.324038,https://www.yelp.com/biz/el-lugar-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.lugarbodegabar.com/menu,"Seattle, WA"
_zTNk9xKaYhK-TXPQcjnzQ,Tapatio Mexican Grill,4.0,435,Mexican,$$,"6920 Coal Creek Pkwy SE, Ste 1, Newcastle, WA 98059",47.539896306883975,-122.16473608656824,https://www.yelp.com/biz/tapatio-mexican-grill-newcastle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.tapatiomexicangrill.com/our-menu,"Seattle, WA"
nbxYggW-DcdCHB2R6G-GuA,Tacos and Beer,3.9,256,Mexican,$$,"9211 Holman Rd NW, Seattle, WA 98117",47.6966972,-122.3722763,https://www.yelp.com/biz/tacos-and-beer-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.tacosandbeerseattle.com/menu,"Seattle, WA"
nQgycPDjsJtxKtoS7rHSOA,Torero's,3.8,578,"Mexican, Bars",$$,"920 N 10th St, Ste R, Renton, WA 98057",47.498144,-122.202857,https://www.yelp.com/biz/toreros-renton-6?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://www.toreros-mexicanrestaurants.com/?page_id=538,"Seattle, WA"
